Nr,Success,Iteration,Total points,Tærskel,Minimum_inliers,Maximum_iterations,Found_inliers,Avg_Dist2,Time_spent,Added_outliers
190,True,1,399,5,280,200,299,0.31993726021330704,0.005468999999720836,100
191,True,0,399,5,280,200,299,0.1648397011891454,0.0029775000002700835,100
192,True,6,399,5,280,200,299,0.18705090889229897,0.019560099999580416,100
193,True,1,399,5,280,200,286,0.3659942769772735,0.005600399999821093,100
194,True,0,399,5,280,200,299,0.25625521405777313,0.0028989000002184184,100
195,True,1,399,5,280,200,293,1.0585702065522984,0.005815700000312063,100
196,True,13,399,5,280,200,299,0.3326712313385216,0.03839739999966696,100
197,True,3,399,5,280,200,299,0.1525856781921557,0.010914000000411761,100
198,True,7,399,5,280,200,283,1.3823379557866835,0.021241200000076788,100
199,True,1,399,5,280,200,299,0.11867536835980762,0.005921199999647797,100
200,True,10,499,5,280,200,299,0.1176784715525654,0.03581529999974009,200
201,True,6,499,5,280,200,299,0.318411715811481,0.023033999999825028,200
202,True,3,499,5,280,200,292,0.40474647415176546,0.012899800000013784,200
203,True,13,499,5,280,200,299,0.15327441639389008,0.04475780000029772,200
204,True,2,499,5,280,200,299,0.29661934780122595,0.009743599999637809,200
205,True,14,499,5,280,200,298,0.3941823843202912,0.0479763000003004,200
206,True,17,499,5,280,200,299,0.24249864370372548,0.0585878000001685,200
207,True,9,499,5,280,200,299,0.09911923488096144,0.03310779999992519,200
208,True,25,499,5,280,200,296,0.39999918443306476,0.08278299999983574,200
209,True,2,499,5,280,200,299,0.48386021598770984,0.009813999999096268,200
210,True,10,499,5,280,200,298,0.38067582950311013,0.035327800000231946,200
211,True,13,499,5,280,200,299,0.2519558561853036,0.04484989999946265,200
212,True,11,499,5,280,200,299,0.21596185385088792,0.04260209999847575,200
213,True,4,499,5,280,200,293,0.669045609328286,0.017138900000645663,200
214,True,27,499,5,280,200,299,0.31263664579967015,0.09022679999907268,200
215,True,3,499,5,280,200,299,0.07126425745445242,0.013115799998558941,200
216,True,21,499,5,280,200,299,0.0976872647809896,0.06998639999983425,200
217,True,5,499,5,280,200,281,0.6083208398654042,0.019848600000841543,200
218,True,1,499,5,280,200,298,0.5268642594330168,0.006643600001552841,200
219,True,21,499,5,280,200,282,0.6016119744670759,0.0708721000009973,200
220,True,16,499,5,280,200,299,0.14816374352573092,0.05475959999967017,200
221,True,13,499,5,280,200,299,0.3164054431796893,0.04478000000017346,200
222,True,2,499,5,280,200,286,0.36640265796154925,0.009853800000200863,200
223,True,16,499,5,280,200,299,0.09917398573265006,0.05509640000127547,200
224,True,18,499,5,280,200,299,0.16137485325371576,0.06189439999980095,200
225,True,18,499,5,280,200,299,0.2364918143030646,0.06211790000088513,200
226,True,13,499,5,280,200,299,0.12721586544628774,0.04499020000002929,200
227,True,35,499,5,280,200,299,0.1330669087450535,0.11448980000022857,200
228,True,28,499,5,280,200,284,0.4778893908992997,0.09299629999986792,200
229,True,54,499,5,280,200,282,0.46943482211443455,0.17398229999889736,200
230,True,4,499,5,280,200,299,0.13740032195058896,0.01624679999986256,200
231,True,3,499,5,280,200,299,0.1102278199684591,0.013011000000915374,200
232,True,32,499,5,280,200,299,0.33028266695458525,0.10610199999973702,200
233,True,23,499,5,280,200,299,0.12733049173948033,0.07609840000077384,200
234,True,21,499,5,280,200,299,0.08059102365104845,0.07020040000134031,200
235,True,28,499,5,280,200,288,0.4563117686440039,0.09760929999902146,200
236,True,36,499,5,280,200,299,0.08249087941800405,0.12135140000100364,200
237,True,38,499,5,280,200,299,0.45599096276648016,0.12495439999838709,200
238,True,36,499,5,280,200,299,0.12391605357413815,0.11758699999882083,200
239,True,4,499,5,280,200,291,0.6394251564353054,0.015924499999528052,200
240,True,4,499,5,280,200,299,0.39097642024289386,0.015905000000202563,200
241,True,2,499,5,280,200,298,0.5060745766887806,0.010571599999821046,200
242,True,8,499,5,280,200,299,0.19367629618106347,0.028674900000623893,200
243,True,21,499,5,280,200,299,0.11233201897310094,0.07015640000099665,200
244,True,11,499,5,280,200,288,0.41320594062192467,0.03808740000022226,200
245,True,80,499,5,280,200,297,0.3493538206401643,0.26427700000022014,200
246,True,110,499,5,280,200,299,0.12055659337954897,0.35728199999903154,200
247,True,30,499,5,280,200,298,0.4840687745119047,0.09978760000012699,200
248,True,0,499,5,280,200,298,0.31604437626050846,0.003588300000046729,200
249,True,14,499,5,280,200,299,0.27571273598468565,0.04810009999891918,200
250,True,77,499,5,280,200,296,0.3156611805086553,0.24616670000068552,200
251,True,3,499,5,280,200,299,0.41185742868636704,0.013268700000480749,200
252,True,32,499,5,280,200,299,0.26486196132944495,0.10579080000024987,200
253,True,6,499,5,280,200,297,0.3931158780678336,0.022432499999922584,200
254,True,5,499,5,280,200,298,0.785452203371538,0.019390800000110175,200
255,True,2,499,5,280,200,296,0.6120427512888129,0.010031499999968219,200
256,True,68,499,5,280,200,299,0.09217518842283766,0.21892810000099416,200
257,True,31,499,5,280,200,299,0.13278819088692878,0.10140409999985422,200
258,True,4,499,5,280,200,299,0.08406813956482974,0.01662149999901885,200
259,True,8,499,5,280,200,299,0.43636399640487716,0.02969409999968775,200
260,True,29,499,5,280,200,297,1.0063585330266378,0.09682339999926626,200
261,True,5,499,5,280,200,299,0.1562745112807232,0.01976439999998547,200
262,True,8,499,5,280,200,299,0.0991154342771915,0.02929009999934351,200
263,True,1,499,5,280,200,299,0.21877718784005287,0.006741799999872455,200
264,True,4,499,5,280,200,298,0.5112235800901624,0.016290999999910127,200
265,True,2,499,5,280,200,299,0.1318754752871607,0.009725699999762583,200
266,True,4,499,5,280,200,299,0.11056557231026824,0.01616720000129135,200
267,True,12,499,5,280,200,299,0.19811404235987845,0.041127400001641945,200
268,True,1,499,5,280,200,293,0.3382670516179088,0.00678909999987809,200
269,True,16,499,5,280,200,292,0.4755676795896088,0.05427319999944302,200
270,True,32,499,5,280,200,299,0.2948412564685674,0.10469310000007681,200
